HTAG,B365H,HomeTeam,HTHG,FTHG,B365D,HTR,FTR,AwayTeam,FTAG,Date,B365A
1,1.65,Udinese,1,1,3.8,D,D,Salernitana,1,02/03/2024,5.75
2,3.75,Monza,0,1,3.4,A,A,Roma,4,02/03/2024,2.05
0,2.63,Torino,0,0,3.0,D,D,Fiorentina,0,02/03/2024,2.9
0,2.2,Verona,0,1,3.4,D,H,Sassuolo,0,03/03/2024,3.25
0,2.15,Empoli,0,0,3.25,D,A,Cagliari,1,03/03/2024,3.6
0,2.25,Frosinone,1,1,3.3,H,D,Lecce,1,03/03/2024,3.3
0,1.91,Atalanta,1,1,3.4,H,A,Bologna,2,03/03/2024,4.2
0,2.38,Napoli,1,2,3.1,H,H,Juventus,1,03/03/2024,3.3
0,1.3,Inter,2,2,5.75,H,H,Genoa,1,04/03/2024,9.5
0,1.75,Napoli,0,1,3.6,D,D,Torino,1,08/03/2024,5.0
0,1.83,Cagliari,2,4,3.6,H,H,Salernitana,2,09/03/2024,4.33
0,2.2,Sassuolo,0,1,3.6,D,H,Frosinone,0,09/03/2024,3.1
1,3.5,Bologna,0,0,3.3,A,A,Inter,1,09/03/2024,2.15
2,2.15,Genoa,0,2,3.2,A,A,Monza,3,09/03/2024,3.5
1,2.2,Lecce,0,0,3.25,A,A,Verona,1,10/03/2024,3.4
0,1.44,Milan,1,1,5.0,H,H,Empoli,0,10/03/2024,6.5
1,2.2,Juventus,0,2,3.3,A,D,Atalanta,2,10/03/2024,3.3
0,2.55,Fiorentina,1,2,3.3,H,D,Roma,2,10/03/2024,2.75
0,1.91,Lazio,0,1,3.5,D,A,Udinese,2,11/03/2024,4.0
0,4.0,Empoli,0,0,3.2,D,A,Bologna,1,15/03/2024,2.0
0,2.05,Monza,1,1,3.5,H,H,Cagliari,0,16/03/2024,3.6
1,2.8,Udinese,0,0,2.9,A,A,Torino,2,16/03/2024,2.8
1,2.9,Salernitana,0,0,3.2,A,A,Lecce,1,16/03/2024,2.5
1,3.5,Frosinone,1,2,3.4,D,A,Lazio,3,16/03/2024,2.15
0,1.5,Juventus,0,0,4.0,D,D,Genoa,0,17/03/2024,7.0
1,5.25,Verona,0,1,3.75,A,A,Milan,3,17/03/2024,1.7
0,1.36,Roma,0,1,4.75,D,H,Sassuolo,0,17/03/2024,8.0
0,1.57,Inter,1,1,4.0,H,D,Napoli,1,17/03/2024,6.0
2,2.1,Napoli,0,0,3.6,A,A,Atalanta,3,30/03/2024,3.4
1,1.95,Genoa,1,1,3.6,D,D,Frosinone,1,30/03/2024,3.8
0,1.83,Torino,0,1,3.4,D,H,Monza,0,30/03/2024,4.75
0,3.1,Lazio,0,1,3.1,D,H,Juventus,0,30/03/2024,2.45
0,2.88,Fiorentina,0,1,3.3,D,A,Milan,2,30/03/2024,2.5
0,1.3,Bologna,2,3,5.5,H,H,Salernitana,0,01/04/2024,10.0
1,2.15,Cagliari,0,1,3.2,A,D,Verona,1,01/04/2024,3.6
1,2.75,Sassuolo,1,1,3.25,D,D,Udinese,1,01/04/2024,2.6
0,4.5,Lecce,0,0,3.5,D,D,Roma,0,01/04/2024,1.83
0,1.22,Inter,1,2,7.0,H,H,Empoli,0,01/04/2024,12.0
2,3.25,Salernitana,0,2,3.5,A,D,Sassuolo,2,05/04/2024,2.2
0,1.36,Milan,2,3,4.75,H,H,Lecce,0,06/04/2024,8.5
0,2.2,Roma,1,1,3.1,H,H,Lazio,0,06/04/2024,3.6
0,3.5,Empoli,1,3,3.2,H,H,Torino,2,06/04/2024,2.25
0,4.2,Frosinone,0,0,3.5,D,D,Bologna,0,07/04/2024,1.91
0,4.0,Monza,1,2,3.8,H,A,Napoli,4,07/04/2024,1.85
1,4.75,Cagliari,1,2,3.8,D,H,Atalanta,1,07/04/2024,1.73
1,2.75,Verona,1,1,3.0,D,A,Genoa,2,07/04/2024,2.8
0,1.83,Juventus,1,1,3.4,H,H,Fiorentina,0,07/04/2024,4.75
0,6.5,Udinese,1,1,4.5,H,A,Inter,2,08/04/2024,1.5
1,1.33,Lazio,3,4,5.0,H,H,Salernitana,1,12/04/2024,9.5
0,2.25,Lecce,0,1,3.1,D,H,Empoli,0,13/04/2024,3.6
0,3.75,Torino,0,0,3.0,D,D,Juventus,0,13/04/2024,2.2
0,1.55,Bologna,0,0,4.0,D,D,Monza,0,13/04/2024,6.5
0,1.33,Napoli,1,2,5.5,H,D,Frosinone,2,14/04/2024,8.0
1,4.5,Sassuolo,2,3,3.8,H,D,Milan,3,14/04/2024,1.75
0,1.18,Inter,1,2,8.0,H,D,Cagliari,2,14/04/2024,12.0
1,1.85,Fiorentina,0,1,3.5,A,D,Genoa,1,15/04/2024,4.33
0,1.45,Atalanta,2,2,4.5,H,D,Verona,2,15/04/2024,7.0
0,3.1,Genoa,0,0,3.1,D,A,Lazio,1,19/04/2024,2.45
0,5.0,Cagliari,2,2,3.5,H,D,Juventus,2,19/04/2024,1.75
0,4.75,Empoli,1,1,4.0,H,H,Napoli,0,20/04/2024,1.7
0,2.55,Verona,0,1,3.1,D,H,Udinese,0,20/04/2024,3.0
2,2.3,Sassuolo,0,0,3.3,A,A,Lecce,3,21/04/2024,3.2
0,1.67,Torino,0,0,3.8,D,D,Frosinone,0,21/04/2024,5.25
0,5.0,Salernitana,0,0,4.0,D,A,Fiorentina,2,21/04/2024,1.67
1,4.0,Monza,0,1,3.8,A,A,Atalanta,2,21/04/2024,1.85
2,2.4,Roma,0,1,3.1,A,A,Bologna,3,22/04/2024,3.2
1,3.75,Milan,0,1,3.6,A,A,Inter,2,22/04/2024,2.0
0,3.3,Udinese,1,1,3.4,H,A,Roma,2,25/04/2024,2.15
0,1.4,Frosinone,2,3,4.75,H,H,Salernitana,0,26/04/2024,7.5
0,2.0,Lecce,0,1,3.25,D,D,Monza,1,27/04/2024,4.0
0,2.1,Juventus,0,0,3.3,D,D,Milan,0,27/04/2024,3.6
0,1.62,Lazio,0,1,3.8,D,H,Verona,0,27/04/2024,6.0
0,1.53,Inter,0,2,3.8,D,H,Torino,0,28/04/2024,7.0
